,nama_desa,jumlah_dasar,jumlah_berkembang,jumlah_lengkap,jumlah_berkelanjutan,prov,kab,kec,latitude,longitude,
2,SUMARRANG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,-3.4241126,119.0615746,
3,PADANG TIMUR,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,-3.4619791,119.1065728,
0,SIDOREJO,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,-3.4094231,119.1827861,
1,NEPO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,-3.46021,119.2152723,
2,TUMPILING,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,-3.4139287,119.2241467,
0,POLEWALI,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,-3.4361835,119.3419437,
1,SULEWATANG,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,-3.410303,119.3255438,
2,TAKATIDUNG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,-3.421463,119.3058124,
3,MADATE,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,-3.402921,119.2964722,
4,MANDING,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,-3.4184375,119.2942372,
5,DARMA,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,-3.4023355,119.3147433,
0,TARAMANU,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,-3.3218901,118.9917191,
1,ARABUA,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,-3.3270315,119.0375533,
2,TARAMANU TUA,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,TUTAR,-3.2923111,119.0021878,
0,TONYAMAN,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,-3.4632517,119.3299716,
0,BUSSU,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,-3.315376,119.1935138,
1,JAMBU MALEA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,-3.3552075,119.1957894,
0,KURMA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,-3.371622,119.1027221,
1,BUKU,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,-3.4763065,119.1939348,
2,SATTOKO,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,-3.312264,119.1082823,
0,TAPUA,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,-3.2101863,119.1660889,
1,MAMBU TAPUA,0,0,0,1,SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,-3.2334752,119.2353401,
0,TENGGELANG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LUYO,-3.3966871,119.0757205,
1,LUYO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,LUYO,-3.3534242,119.0431899,
2,PUCCADI,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LUYO,-3.386121,119.1425884,
0,SAMASUNDU,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,-3.4723381,119.0209776,
1,SALARRI,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,-3.4409319,119.0236118,
2,TANGAN BARU,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,-3.4589265,118.9702229,
0,SABANG SUBIK,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,-3.5019904,119.0693615,
1,PAMBUSUANG,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,-3.5022275,119.0775971,
2,BALA,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,-3.5039876,119.0872719,
3,LAMBANAN,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,-3.4875506,119.0743414,
4,LEGO,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,-3.4918437,119.0835119,
0,DUAMPANUA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,-3.3762618,119.3229087,
1,KUNYI,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,-3.3642421,119.3834211,
0,PETAMPANUA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,-3.3994649,119.2929653,
1,TONROLIMA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,-3.3706982,119.2499723,
2,INDOMAKKOMBONG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,-3.3535073,119.2567757,
3,BUNGA-BUNGA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,-3.388075,119.3038944,
0,KALUMAMMANG,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,ALLU,-3.4145189,118.9070993,
1,ALU,1,0,0,0,SULAWESI BARAT,POLEWALI MANDAR,ALLU,-3.3528755,118.9033534,
0,PULLIWA,0,1,0,0,SULAWESI BARAT,POLEWALI MANDAR,BULO,-3.2843703,119.153489,
0,TOTOLI,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE,-3.327582,118.8408571,
1,RANGAS,1,0,0,0,SULAWESI BARAT,MAJENE,BANGGAE,-3.555182,118.9425073,
2,PALIPI SOREANG,0,0,1,0,SULAWESI BARAT,MAJENE,BANGGAE,-3.5479953,118.9255268,
3,PAMBOBORANG,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE,-3.5328869,118.9396278,
0,BETTENG,0,0,1,0,SULAWESI BARAT,MAJENE,PAMBOANG,-3.4806081,118.9197534,
1,BONDE UTARA,0,0,0,1,SULAWESI BARAT,MAJENE,PAMBOANG,-3.5318642,118.91073,
2,BUTTU PAMBOANG,0,1,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,-3.5072221,118.9034674,
3,BANUA ADOLANG,1,0,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,-3.4530165,118.9062743,
4,ADOLANG DHUA,1,0,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,-3.4311737,118.888647,
5,PESULOANG,1,0,0,0,SULAWESI BARAT,MAJENE,PAMBOANG,-3.4627339,118.8775618,
0,MOSSO,1,0,0,0,SULAWESI BARAT,MAJENE,SENDANA,-3.4140567,118.8656401,
1,LALATEDZONG,0,0,0,1,SULAWESI BARAT,MAJENE,SENDANA,-3.3636123,118.8456911,
2,PUNDAU,1,0,0,0,SULAWESI BARAT,MAJENE,SENDANA,-3.3288057,118.8579347,
3,LIMBUA,0,1,0,0,SULAWESI BARAT,MAJENE,SENDANA,-3.3728801,118.8482335,
0,BAMBANGAN,1,0,0,0,SULAWESI BARAT,MAJENE,MALUNDA,-2.9785739,118.8803328,
1,LOMBANG,1,0,0,0,SULAWESI BARAT,MAJENE,MALUNDA,-3.00477,118.8840083,
2,LOMBONG,0,1,0,0,SULAWESI BARAT,MAJENE,MALUNDA,-2.9862008,118.8474289,
3,MALIAYA,0,0,1,0,SULAWESI BARAT,MAJENE,MALUNDA,-2.9277326,118.8739389,
4,SALUTAHONGAN,1,0,0,0,SULAWESI BARAT,MAJENE,MALUNDA,-2.9973105,118.9107571,
0,KABIRAAN,1,0,0,0,SULAWESI BARAT,MAJENE,ULUMANDA,-3.0515218,118.8707644,
1,SAMBABO,1,0,0,0,SULAWESI BARAT,MAJENE,ULUMANDA,-3.1194608,118.8200588,
2,SALUTAMBUNG,0,0,0,1,SULAWESI BARAT,MAJENE,ULUMANDA,-3.085548,118.8344141,
0,TAMMERODO,0,0,0,1,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,-3.2594181,118.8375744,
1,AWO,0,0,1,0,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,-3.2137668,118.846255,
0,ONANG,0,1,0,0,SULAWESI BARAT,MAJENE,TUBO SENDANA,-3.142574,118.7130423,
1,ONANG UTARA,0,1,0,0,SULAWESI BARAT,MAJENE,TUBO SENDANA,-3.1425765,118.7655737,
2,TUBO TENGAH,0,0,0,1,SULAWESI BARAT,MAJENE,TUBO SENDANA,-3.0848865,118.7903574,
0,BAURUNG,0,0,1,0,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,-3.5097294,118.9337408,
1,TANDE,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,-3.5097301,118.9600057,
2,LABUANG UTARA,1,0,0,0,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,-3.5421099,118.9722162,
3,BUTTU BARUGA,0,0,0,1,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,-3.5039847,118.9555187,
0,BATU PARIGI,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,-2.0602376,119.4330957,
1,BAMBADARU,0,0,0,1,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,-2.1474984,119.3720897,
2,SEJATI,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,-2.1594771,119.4461412,
3,SALOADAK,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,-2.157438,119.401023,
0,SARTANAMAJU,0,0,1,0,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,-2.2636037,119.1803476,
1,LAMBA-LAMBA,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,-2.2234802,119.1482252,
2,KOMBILING,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,-2.2508246,119.1457179,
0,BABANA,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,-2.077081,119.1954709,
1,LUMU,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,-2.1974969,119.0882212,
2,KIRE,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,-2.1345708,119.1886303,
0,BUDONG-BUDONG,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,-2.0575395,119.2031147,
1,TUMBU,0,0,0,1,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,-2.0171974,119.2206367,
2,SINABATTA,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,-2.0032414,119.2704749,
0,KAROSSA,0,1,0,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,-1.8025249,119.2645184,
1,TASOKKO,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,-1.9291008,119.3529124,
2,LARA,1,0,0,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,-1.8552172,119.3821374,
3,KAMBUNONG,0,0,1,0,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,-1.9603179,119.3050261,
,,,,,,,,,ujung,ujung,
